sample_datetime,time_interval,rundate,treatment,syringe_number,bottle,SampleID,volwater,volair,equiltemp,ResetTime,DATETIME,samplenum,ENDTIME,CO2,delCO2,CH4,delCH4,pressure,CO2_vol_air,kH_CO2,CO2_mol_water,CO2_mol_air,CO2_conc_umolL,AF,CO2_13C_umolL
2022-07-12T16:30:00Z,T0,2022-07-13,LW,33,A,2,70,70,21,2022-07-13T02:34:33Z,2022-07-13T02:34:33Z,2,2022-07-13T02:35:03Z,469.74774008029,17.275475896913,0.346332035489565,-99.241187414,0.9,469.74774008029,32.354686707052466,14.518692278911711,17.907674868519106,32.42636714743082,0.01130212962713399,0.3664870048373021
2022-07-12T16:30:00Z,T0,2022-07-13,LW,70,A,3,70,70,21,2022-07-13T02:36:58Z,2022-07-13T02:36:58Z,3,2022-07-13T02:37:28Z,467.698142391667,14.8369598501667,0.29690285132125,-70.6695336015,0.9,467.698142391667,32.354686707052466,14.455344495414977,17.82954031695563,32.284884812370606,0.011275342712603218,0.36402314069639724
2022-07-12T16:30:00Z,T0,2022-07-13,LW,72,A,4,70,70,21,2022-07-13T02:39:18Z,2022-07-13T02:39:18Z,4,2022-07-13T02:39:48Z,473.8441007214,16.27398308748,0.2944504101468,-55.37267760504,0.9,473.8441007214,32.354686707052466,14.645300231515286,18.06383590612763,32.70913613764291,0.011291128479935205,0.36932305859781767
2022-07-12T16:30:00Z,T0,2022-07-13,LW,32,A,5,70,70,21,2022-07-13T02:41:46Z,2022-07-13T02:41:46Z,5,2022-07-13T02:42:16Z,468.8601203552,17.31395687574,0.4936100625608,-117.80204516088,0.9,468.8601203552,32.354686707052466,14.491258240278398,17.873837120963195,32.36509536124159,0.011302552326146006,0.3658081838611385
2022-07-12T16:30:00Z,T0,2022-07-13,LW,37,A,6,70,70,21,2022-07-13T02:44:24Z,2022-07-13T02:44:24Z,6,2022-07-13T02:44:54Z,445.892787932292,17.0552732849583,0.29570880602125,-62.0162682064167,0.9,445.892787932292,32.354686707052466,13.781397173445637,16.9982788446076,30.779676018053234,0.011299710777695463,0.3478014368351707
2022-07-12T16:30:00Z,T0,2022-07-13,LW,71,A,7,70,70,21,2022-07-13T02:46:53Z,2022-07-13T02:46:53Z,7,2022-07-13T02:47:23Z,472.1059065944,15.12753015594,0.3096158632856,-56.05353899712,0.9,472.1059065944,32.354686707052466,14.591577129735995,17.99757264900293,32.58914977873893,0.011278534681631478,0.36755785602438984
2022-07-12T16:30:00Z,T0,2022-07-13,LW,BH21,A,8,70,70,21,2022-07-13T02:49:24Z,2022-07-13T02:49:24Z,8,2022-07-13T02:49:54Z,431.012251184203,17.3645357839855,0.302618556815652,-57.579420214913,0.9,431.012251184203,32.354686707052466,13.321478124226552,16.43100455839543,29.752482682621977,0.011303107915791625,0.3362955225243977
2022-07-12T16:30:00Z,T0,2022-07-13,LW,74,A,9,70,70,21,2022-07-13T02:51:55Z,2022-07-13T02:51:55Z,9,2022-07-13T02:52:25Z,442.1885990672,17.33556110118,0.2909030882652,-60.50549208848,0.9,442.1885990672,32.354686707052466,13.666910239956508,16.8570681389716,30.523978378928106,0.011302789640240682,0.3450061066002792
2022-07-13T14:45:00Z,T1,2022-07-13,LW,BH12,A,2,70,70,21,2022-07-13T21:21:31Z,2022-07-13T21:21:31Z,2,2022-07-13T21:22:01Z,417.850193213403,20.7977862853472,0.23291393373625,-78.9264151552917,0.9,417.850193213403,32.354686707052466,12.914672826126383,15.929241942780926,28.843914768907307,0.011340819378286954,0.3271136275568813
2022-07-13T14:45:00Z,T1,2022-07-13,LW,73,A,3,70,70,21,2022-07-13T21:23:56Z,2022-07-13T21:23:56Z,3,2022-07-13T21:24:26Z,423.6767228448,20.67382760728,0.2257207823648,-56.98238151516,0.9,423.6767228448,32.354686707052466,13.09475584421127,16.151360304080583,29.246116148291854,0.011339457843155522,0.33163510113958544
