sample_datetime,time_interval,rundate,treatment,syringe_number,bottle,SampleID,volwater,volair,equiltemp,ResetTime,DATETIME,samplenum,ENDTIME,CO2,delCO2,CH4,delCH4,pressure,CO2_norm,delCO2_norm,CO2_vol_air,kH_CO2,CO2_mol_water,CO2_mol_air,CO2_conc,DIC_molL,DIC_mgL,AF,DIC_13C
2022-07-12T16:30:00Z,T0,2022-07-13,LW,33,A,2,70,70,21,2022-07-13T02:34:33Z,2022-07-13T02:34:33Z,2,2022-07-13T02:35:03Z,469.74774008029,17.275475896913,0.346332035489565,-99.241187414,0.9,450.31070275552406,19.761091177431965,450.31070275552406,32.354686707052466,13.91794353729187,17.166698137562005,31.084641674853874,2.3324016786818804,28014.476562648062,0.01132943242946527,317.38811926335967
2022-07-12T16:30:00Z,T0,2022-07-13,LW,70,A,3,70,70,21,2022-07-13T02:36:58Z,2022-07-13T02:36:58Z,3,2022-07-13T02:37:28Z,467.698142391667,14.8369598501667,0.29690285132125,-70.6695336015,0.9,448.3459125143359,17.316549506092738,448.3459125143359,32.354686707052466,13.85721693347778,17.09179660675736,30.949013540235136,2.331706984501584,28006.132590848523,0.011302580805197783,316.54157664914857
2022-07-12T16:30:00Z,T0,2022-07-13,LW,72,A,4,70,70,21,2022-07-13T02:39:18Z,2022-07-13T02:39:18Z,4,2022-07-13T02:39:48Z,473.8441007214,16.27398308748,0.2944504101468,-55.37267760504,0.9,454.23756579636176,18.757123618974745,454.23756579636176,32.354686707052466,14.039312755803936,17.316397605145408,31.35571036094935,2.333784654559163,28031.087485910102,0.011318404706554005,317.26719253035196
2022-07-12T16:30:00Z,T0,2022-07-13,LW,32,A,5,70,70,21,2022-07-13T02:41:46Z,2022-07-13T02:41:46Z,5,2022-07-13T02:42:16Z,468.8601203552,17.31395687574,0.4936100625608,-117.80204516088,0.9,449.4598106104834,19.79966724616333,449.4598106104834,32.354686707052466,13.891644653524432,17.13426051502238,31.02590516854681,2.3321010518563825,28010.865733847008,0.011329856149600553,317.3590793902619
2022-07-12T16:30:00Z,T0,2022-07-13,LW,37,A,6,70,70,21,2022-07-13T02:44:24Z,2022-07-13T02:44:24Z,6,2022-07-13T02:44:54Z,445.892787932292,17.0552732849583,0.29570880602125,-62.0162682064167,0.9,427.44281143979714,19.54034442688446,427.44281143979714,32.354686707052466,13.211155938858957,16.294930744831866,29.506086683690825,2.324200109519442,27915.967515438013,0.011327007736759123,316.20438002648274
2022-07-12T16:30:00Z,T0,2022-07-13,LW,71,A,7,70,70,21,2022-07-13T02:46:53Z,2022-07-13T02:46:53Z,7,2022-07-13T02:47:23Z,472.1059065944,15.12753015594,0.3096158632856,-56.05353899712,0.9,452.5712939826407,17.607837800236226,452.5712939826407,32.354686707052466,13.98781258741078,17.252876163025018,31.2406887504358,2.3331987047349765,28024.0496425718,0.011305780485135605,316.8337535634597
2022-07-12T16:30:00Z,T0,2022-07-13,LW,BH21,A,8,70,70,21,2022-07-13T02:49:24Z,2022-07-13T02:49:24Z,8,2022-07-13T02:49:54Z,431.012251184203,17.3645357839855,0.302618556815652,-57.579420214913,0.9,413.17799569152766,19.850371139490175,413.17799569152766,32.354686707052466,12.770267239257976,15.751128911031284,28.521396150289263,2.3189499581345823,27852.90794715447,0.011330413081396262,315.5849525593649
2022-07-12T16:30:00Z,T0,2022-07-13,LW,74,A,9,70,70,21,2022-07-13T02:51:55Z,2022-07-13T02:51:55Z,9,2022-07-13T02:52:25Z,442.1885990672,17.33556110118,0.2909030882652,-60.50549208848,0.9,423.8918930453976,19.821324857591804,423.8918930453976,32.354686707052466,13.101406200697358,16.159563000261805,29.260969200959167,2.322903128419411,27900.389475445543,0.011330094036980093,316.1140364251677
2022-07-13T14:45:00Z,T1,2022-07-13,LW,BH12,A,2,70,70,21,2022-07-13T21:21:31Z,2022-07-13T21:21:31Z,2,2022-07-13T21:22:01Z,417.850193213403,20.7977862853472,0.23291393373625,-78.9264151552917,0.9,409.19442387735353,22.61673365455352,409.19442387735353,32.354686707052466,12.64714529867971,15.599267597443198,28.24641289612291,2.3174644926951435,27835.066021761366,0.011360797868925812,316.2285587414358
2022-07-13T14:45:00Z,T1,2022-07-13,LW,73,A,3,70,70,21,2022-07-13T21:23:56Z,2022-07-13T21:23:56Z,3,2022-07-13T21:24:26Z,423.6767228448,20.67382760728,0.2257207823648,-56.98238151516,0.9,414.90025691140977,22.492551586875685,414.90025691140977,32.354686707052466,12.823497895931489,15.816784775515137,28.640282671446627,2.319589534759634,27860.589901997962,0.011359433935253677,316.4805303889416
2022-07-13T14:45:00Z,T1,2022-07-13,LW,110n,A,4,70,70,21,2022-07-13T21:26:25Z,2022-07-13T21:26:25Z,4,2022-07-13T21:26:55Z,456.8304916332,18.65077359358,0.20244660123,-58.21855903458,0.9,447.36724517436306,20.465851853668006,447.36724517436306,32.354686707052466,13.826968847664622,17.054487951423166,30.881456799087783,2.331360271406068,28001.96821985828,0.011337173474334522,317.46317133133556
2022-07-13T14:45:00Z,T1,2022-07-13,LW,8G,A,5,70,70,21,2022-07-13T21:28:46Z,2022-07-13T21:28:46Z,5,2022-07-13T21:29:16Z,450.8604230902,20.15783469278,0.2172556735816,-62.9177544546,0.9,441.52084663814526,21.975628792787028,441.52084663814526,32.354686707052466,13.646271732926577,16.831612149784437,30.477883882711012,2.32927949432644,27976.976006354867,0.011353756356843263,317.64376917740304
2022-07-15T18:00:00Z,T2,2022-07-16,LW,73,A,2,70,70,21,2022-07-16T00:47:54Z,2022-07-16T00:47:54Z,2,2022-07-16T00:48:24Z,481.820413797,22.85919004406,0.2607121878016,-58.36350004648,0.9,464.98931961665266,25.473193540023864,464.98931961665266,32.354686707052466,14.371621763078217,17.726274854681975,32.09789661776019,2.3375347343783295,28076.129694618114,0.0113921702956113,319.84805072275884
2022-07-15T18:00:00Z,T2,2022-07-16,LW,110n,A,3,70,70,21,2022-07-16T00:50:24Z,2022-07-16T00:50:24Z,3,2022-07-16T00:50:54Z,498.0839210736,20.97456062118,0.2596459269196,-53.37177455516,0.9,480.6847052138118,23.583693017708683,480.6847052138118,32.354686707052466,14.856725690656596,18.324612724624515,33.18133841528111,2.3429161889548755,28140.76634553701,0.011371418182087001,320.0004220795015
2022-07-15T18:00:00Z,T2,2022-07-16,LW,BH12,B,4,70,70,21,2022-07-16T00:52:55Z,2022-07-16T00:52:55Z,4,2022-07-16T00:53:25Z,471.6124723668,22.1440022401,0.2743040574996,-47.755631457104,0.9,455.1379650364061,24.7561572051358,455.1379650364061,32.354686707052466,14.067141776316385,17.350722532051538,31.41786430836792,2.3341007437481576,28034.88403315912,0.011384295290851403,319.15739827825854
